Pregunta,Explicación,Color
En un buen día … ¿Eres una persona precisa????,"Eres una persona concisa, clara, exacta y rigurosa...",Azul
En un buen día … ¿Eres una persona sistemática????,Eres una persona que realiza las tareas ordenadame...,Azul
En un buen día … ¿Eres una persona curiosa o pregu...,Te prima la tendencia a la investigación y explora...,Azul
En un buen día … ¿Eres una persona análitica????,"Te gusta llegar al fondo de las cosas, quieres sab...",Azul
En un buen día … ¿Eres una persona sensata????,"Consideras que tienes buen juicio, prudencia y mad...",Azul
En un buen día ... ¿Eres una persona perseverante?,Te sueles mantener constante en un proyecto ya com...,Azul
En un buen día … ¿Eres una persona metódica????,Eres una persona disciplinada en el cumplimiento d...,Azul
En un buen día … ¿Eres una persona controlada????,Persona controlada: Que tiene control sobre su...,Azul
En un buen día … ¿Eres una persona disciplinada???...,Persona disciplinada: es aquella persona ordenada ...,Azul
En un buen día … ¿Eres una persona estable????,Persona estable: es la que es capaz de mantenerse ...,Azul
En un mal día ….¿Eres una persona aburrida?,"No es entretenido, eres monótono y predecible",Azul
En un mal día ….¿Eres una persona mezquina?,Persona mezquina: Es aquella que tiene actitud de ...,Azul
En un mal día ….¿Eres una persona quisquillosa?,Que se ofende fácilmente por cosas insignificantes...,Azul
En un mal día ….¿Eres una persona inamovible?,Te cuesta cambiar las decisiones ya tomadas.,Azul
En un mal día ….¿Eres una persona aislada?,Persona que se separa y no se comunica con fluidez...,Azul
En un mal día ….¿Eres una persona Fría?,Persona que no muestra sus sentimientos y es dista...,Azul
En un mal día ….¿Eres una persona suspicaz?,"Tiendes a pensar mal de los demás, creyendo que ti...",Azul
En un mal día ….¿Eres una persona criítica?,"Analizas la realidad, cuestionas las cosas, no te ...",Azul
En un mal día ….¿Eres una persona poco diplomática...,No tienes capacidad de razonar con una persona que...,Azul
En un mal día ….¿Eres una persona susceptible?,Que se ofende o toma a mal las cosas con facilidad,Azul
En un buen día … ¿Eres una persona Fiable????,Se puede confiar en ti,Verde
En un buen día … ¿Eres una persona considerada????,Tienes en cuenta los sentimientos/opiniones de los...,Verde
En un buen día … ¿Eres una persona que comparte???...,"Compartes tanto cosas materiales como personales, ...",Verde
En un buen día … ¿Eres una persona leal????,Que eres incapaz de traicionar o engañar a las per...,Verde
En un buen día … ¿Eres una persona atenta????,Pones atención en lo que haces,Verde
En un buen día … ¿Eres una persona paciente????,Eres tolerante ante actitudes que podrían molestar...,Verde
En un buen día … ¿Eres una persona comprensiva????,Una persona que entiende las circustancias de los ...,Verde
En un buen día … ¿Eres una persona tranquila????,"Eres una persona calmada, que no pierde los nervio...",Verde
En un buen día … ¿Eres una persona considerada????,Tienes en cuenta los sentimientos/opiniones de los...,Verde
En un buen día … ¿Eres una persona discreta????,Es una persona que no busca llamar la atención,Verde
En un mal día ….¿Eres una persona Obstinada (cabez...,"Te mantienes firme en una u opinión, generalmente ...",Verde
En un mal día ….¿Eres una persona precavida?,"Eres una persona prudente, no tomas riesgos innece...",Verde
En un mal día ….¿Eres una persona indecisa?,Te cuesta mucho tomar decisiones,Verde
En un mal día ….¿Eres una persona evasiva?,Evitas afrontar las dificultades,Verde
